"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract"
"Poutré C.; Dionne G.; Yergeau G.","Poutré, Cédric (57216995825); Dionne, Georges (7005055687); Yergeau, Gabriel (57256480100)","57216995825; 7005055687; 57256480100","The profitability of lead–lag arbitrage at high frequency","2024","International Journal of Forecasting","40","3","","1002","1021","19","0","10.1016/j.ijforecast.2023.09.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173179345&doi=10.1016%2fj.ijforecast.2023.09.001&partnerID=40&md5=a1c8174b9e7801e11def599285568099","Any lead–lag effect in an asset pair implies that future returns on the lagging asset have the potential to be predicted from past and present prices of the leader, thus creating statistical arbitrage opportunities. We utilize robust lead–lag indicators to uncover the origin of price discovery, and we propose an econometric model exploiting that effect with level 1 data of limit order books (LOBs). We also develop a high-frequency trading strategy based on the model predictions to capture arbitrage opportunities. The framework is then evaluated on six months of DAX 30 cross-listed stocks’ LOB data obtained from three European exchanges in 2013: Xetra, Chi-X, and BATS. We show that a high-frequency trader can profit from lead–lag relationships because of predictability, even when trading costs, latency, and execution-related risks are considered. © 2023 International Institute of Forecasters"
"O Mahony A.; Hanzon B.; Popovici E.","O Mahony, Aidan (59306503500); Hanzon, Bernard (7004317280); Popovici, Emanuel (57223136665)","59306503500; 7004317280; 57223136665","The Role of FPGAs in Modern Option Pricing Techniques: A Survey","2024","Electronics (Switzerland)","13","16","3186","","","","0","10.3390/electronics13163186","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202687768&doi=10.3390%2felectronics13163186&partnerID=40&md5=376494d800f6fafcb3da2bd84e9bd9a1","In financial computation, Field Programmable Gate Arrays (FPGAs) have emerged as a transformative technology, particularly in the domain of option pricing. This study presents the impact of Field Programmable Gate Arrays (FPGAs) on computational methods in finance, with an emphasis on option pricing. Our review examined 99 selected studies from an initial pool of 131, revealing how FPGAs substantially enhance both the speed and energy efficiency of various financial models, particularly Black–Scholes and Monte Carlo simulations. Notably, the performance gains—ranging from 270- to 5400-times faster than conventional CPU implementations—are highly dependent on the specific option pricing model employed. These findings illustrate FPGAs’ capability to efficiently process complex financial computations while consuming less energy. Despite these benefits, this paper highlights persistent challenges in FPGA design optimization and programming complexity. This study not only emphasises the potential of FPGAs to further innovate financial computing but also outlines the critical areas for future research to overcome existing barriers and fully leverage FPGA technology in future financial applications. © 2024 by the authors."
"Dang V.A.; Nguyen D.T.; Pham T.P.; Zurbruegg R.","Dang, Viet Anh (35117543200); Nguyen, Dinh Trung (58605789700); Pham, Thu Phuong (23482890700); Zurbruegg, Ralf (6602199888)","35117543200; 58605789700; 23482890700; 6602199888","The dynamics of informed trading around corporate bankruptcies","2024","Finance Research Letters","63","","105385","","","","0","10.1016/j.frl.2024.105385","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190134114&doi=10.1016%2fj.frl.2024.105385&partnerID=40&md5=b478045ee835117a85b9c40c0ce13a66","We investigate the dynamics of informed trading both before and after corporate bankruptcy announcements using high frequency data. Our findings reveal that pre-announcement informed selling attenuates subsequent announcement returns, with this effect being weaker for firms receiving extensive pre-announcement media coverage or adverse news sentiment. We also find that post-announcement informed trading can serve as a predictor of subsequent bankruptcy outcomes. Overall, results are consistent with there being material information leakage, warranting policy efforts to better safeguard less informed investors. © 2024 The Author(s)"
"Mao Y.; Yu X.","Mao, Yaqi (57742585800); Yu, Xiaobing (33368399100)","57742585800; 33368399100","A hybrid forecasting approach for China's national carbon emission allowance prices with balanced accuracy and interpretability","2024","Journal of Environmental Management","351","","119873","","","","8","10.1016/j.jenvman.2023.119873","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181134560&doi=10.1016%2fj.jenvman.2023.119873&partnerID=40&md5=4cf5438cfb01f80208ba115802345f10","A significant milestone in China's carbon market was reached with the official launch and operation of the National Carbon Emission Trading Market. The accurate prediction of the carbon price in this market is crucial for the government to formulate scientific policies regarding the carbon market and for companies to participate effectively. Nevertheless, it remains challenging to accurately predict price fluctuations in the carbon market because of the volatility and instability caused by several complex factors. This paper proposes a new carbon price forecasting framework that considers the potential factors influencing national carbon prices, including data decomposition and reconstruction techniques, feature selection techniques, machine learning forecasting techniques for intelligent optimisation, and research on model interpretability. This comprehensive framework aims to improve the accuracy and understandability of carbon price projections to respond better to the complexity and uncertainty of carbon markets. The results indicate that (1) the hybrid forecasting framework is highly accurate in forecasting national carbon market prices and far superior to other comparative models; (2) the factors driving national carbon prices vary according to the time scale. High-frequency series are sensitive to short-term economic and energy market indicators. Medium- and low-frequency series are more susceptible to financial markets and long-term economic conditions than high-frequency series. This study provides insights into the factors affecting China's national carbon market price and serves as a reference for companies and governments to develop carbon price forecasting tools. © 2023 Elsevier Ltd"
"Hadad E.; Hodarkar S.; Lemeneh B.; Shasha D.","Hadad, Eli (59196041700); Hodarkar, Sohail (59195621500); Lemeneh, Beakal (59196877400); Shasha, Dennis (7005430203)","59196041700; 59195621500; 59196877400; 7005430203","Machine Learning-Enhanced Pairs Trading","2024","Forecasting","6","2","","434","455","21","0","10.3390/forecast6020024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197182624&doi=10.3390%2fforecast6020024&partnerID=40&md5=2d8d140dcfc0aa603fe504ebc118f14a","Forecasting returns in financial markets is notoriously challenging due to the resemblance of price changes to white noise. In this paper, we propose novel methods to address this challenge. Employing high-frequency Brazilian stock market data at one-minute granularity over a full year, we apply various statistical and machine learning algorithms, including Bidirectional Long Short-Term Memory (BiLSTM) with attention, Transformers, N-BEATS, N-HiTS, Convolutional Neural Networks (CNNs), and Temporal Convolutional Networks (TCNs) to predict changes in the price ratio of closely related stock pairs. Our findings indicate that a combination of reversion and machine learning-based forecasting methods yields the highest profit-per-trade. Additionally, by allowing the model to abstain from trading when the predicted magnitude of change is small, profits per trade can be further increased. Our proposed forecasting approach, utilizing a blend of methods, demonstrates superior accuracy compared to individual methods for high-frequency data. © 2024 by the authors."
"Olgun O.; Ekinci C.; Arıkan R.","Olgun, Onur (35095485600); Ekinci, Cumhur (55831450300); Arıkan, Ramazan (59132034800)","35095485600; 55831450300; 59132034800","The performance of selected high-frequency trading proxies: An application on Turkish index futures market","2024","Finance Research Letters","65","","105523","","","","0","10.1016/j.frl.2024.105523","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193441165&doi=10.1016%2fj.frl.2024.105523&partnerID=40&md5=5dfc51cb53e571e0b0aefa73bba0e933","This paper intends to provide evidence for how well high-frequency trading (HFT) proxies capture low-latency activity in rarely explored futures markets. We first run suggested identification algorithms using tick-by-tick order and trade message data to derive models’ HFT estimates. Contrasting these with Exchange-provided classification tags (considered as real HFT messages), we interpret the soundness and consistency of these proxies with regard to various reference metrics through an empirical mindset. Our results suggest that certain proxies track low-latency behavior better than others affirming their given credits of reliable HFT identifiers in practice. © 2024 Elsevier Inc."
"Zou S.; Zhang J.","Zou, Shaohui (23975221600); Zhang, Jing (57216516444)","23975221600; 57216516444","A carbon price ensemble prediction model based on secondary decomposition strategies and bidirectional long short-term memory neural network by an improved particle swarm optimization","2024","Energy Science and Engineering","12","6","","2568","2590","22","0","10.1002/ese3.1769","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192928601&doi=10.1002%2fese3.1769&partnerID=40&md5=65ed969e1de3be305b93c5d969e4148b","To further enhance the precision of carbon trading price forecasting, this research proposes a combined forecasting model, CEEMDAN–VMD–IPSO–BiLSTM, considering the unsatisfactory high-frequency sequence decomposition and the reliance on unidirectional neural networks in current carbon price-prediction models. First of all, the original sequence of carbon prices is decomposed into multiple independent subsequences through the completely ensemble empirical mode decomposition with adaptive noise (CEEMDAN) technique. The sample entropy values of each subsequence are calculated to reconstruct them as high-frequency, low-frequency, and trend sequences. Second, we employ the variational mode decomposition (VMD) approach to decompose the high-frequency series. The obtained subsequences, along with the low-frequency and trend sequences, are separately input into an improved particle swarm optimization (IPSO) optimized bidirectional long short-term memory neural network (BiLSTM) model for forecasting. Finally, an IPSO–BiLSTM model is used to integrate the forecasting outcomes from the previous step, yielding the ultimate results for predicting carbon prices. The case studies reveal that compared with the benchmark model, this model exhibits superior predictive precision and universality. It offers theoretical support for optimizing carbon market operations and fostering low-carbon economic growth, holding practical importance. © 2024 The Author(s). Energy Science & Engineering published by Society of Chemical Industry and John Wiley & Sons Ltd."
"Meher B.K.; Singh M.; Birau R.; Anand A.","Meher, Bharat Kumar (57216872428); Singh, Manohar (58854850800); Birau, Ramona (55907587900); Anand, Abhishek (58777740900)","57216872428; 58854850800; 55907587900; 58777740900","Forecasting stock prices of fintech companies of India using random forest with high-frequency data","2024","Journal of Open Innovation: Technology, Market, and Complexity","10","1","100180","","","","7","10.1016/j.joitmc.2023.100180","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182909117&doi=10.1016%2fj.joitmc.2023.100180&partnerID=40&md5=87a54735f41381c1fdf873585b541ce0","The fintech segment is currently one of the most rapidly growing industries, attracting numerous investors who anticipate substantial returns in the future. Notably, not only individual retail investors but also mutual fund agencies are actively engaged in predicting stock prices within this sector to maximize their trading gains. The purpose of the study is to formulate stock forecasting models for top three Fintech Companies of India i.e., Policy Bazar, One 97 Communications Paytm Ltd., and Niyogin Ltd. Using Random Forest model with high-frequency data in Python. The literature review section also proves that this study is a novel piece of work as none of the existing research study focused on predicting stock prices of Fintech Companies of India using Random Forest model. The data is extracted from www.moneycontrol.com and www.kotaksecurities.com, for the period from 1st October, 2022–30 th September, 2023. The study deals about 293,280 data points i.e., 3 companies @ 97,760 each. It has been found that the forecasting model of random forest provides very successful results for prediction as the co-efficient of determination of all the selected companies is more than 95%. © 2023"
"Alaminos D.; Salas M.B.; Partal-Ureña A.","Alaminos, David (57192061042); Salas, M. Belén (57214868441); Partal-Ureña, Antonio (55635269100)","57192061042; 57214868441; 55635269100","Hybrid ARMA-GARCH-Neural Networks for intraday strategy exploration in high-frequency trading","2024","Pattern Recognition","148","","110139","","","","0","10.1016/j.patcog.2023.110139","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178468005&doi=10.1016%2fj.patcog.2023.110139&partnerID=40&md5=a62f489cf2e894251a0feb59702a1410","The frequency of armed conflicts increased during the last 20 years. The problems of the emergence of military disputes, not only concern social parameters, but also economic and financial dimensions. This study examines the potential impact of global geopolitical events on the stock market prices of the Dow Jones U.S. Aerospace & Defense Index and Foreign Exchange (FOREX) markets movements. We analyse whether defence stocks and exchange rate perform similarly during military incidents or geopolitical crises. We built an Autoregressive Moving Average Model with a Generalized Autoregressive Conditional Heteroskedasticity process (ARMA-GARCH) with the machine learning methods of Neural Networks, Deep Recurrent Convolutional Neural Networks, Deep Neural Decision Trees, Quantum Neural Networks, and Quantum Recurrent Neural Networks, aimed at detecting intraday patterns for forecasting defence stock market and FOREX markets disturbances in a market microstructure framework. The empirical results provide preliminary findings on the foreseeability of market disturbances and small differences are observed before and during geopolitical events. Additionally, we confirm the effectiveness of the hybrid model ARMA-GARCH with the machine learning approaches, being ARMA-GARCH-Quantum Recurrent Neural Network the technique that achieves the best accuracy results. Our work has a large potential impact on investment market agents and portfolio managers, as shocks from geopolitical events could provide a new methodology to support the decision-making process for trading in High-Frequency Trading. © 2023"
"Xu S.; Wang Z.; Wang L.; Mihaljević M.J.; Zhang S.; Shao W.; Wang Q.","Xu, Shujiang (55800847500); Wang, Ziye (59002310700); Wang, Lianhai (10041394500); Mihaljević, Miodrag J. (7003848751); Zhang, Shuhui (35303908100); Shao, Wei (57211232122); Wang, Qizheng (59001658700)","55800847500; 59002310700; 10041394500; 7003848751; 35303908100; 57211232122; 59001658700","A Sharding Scheme Based on Graph Partitioning Algorithm for Public Blockchain","2024","CMES - Computer Modeling in Engineering and Sciences","139","3","","3311","3327","16","0","10.32604/cmes.2023.046164","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191340703&doi=10.32604%2fcmes.2023.046164&partnerID=40&md5=3cfe9fb408c158398b903da940025d2e","Blockchain technology, with its attributes of decentralization, immutability, and traceability, has emerged as a powerful catalyst for enhancing traditional industries in terms of optimizing business processes. However, transaction performance and scalability has become the main challenges hindering the widespread adoption of blockchain. Due to its inability to meet the demands of high-frequency trading, blockchain cannot be adopted in many scenarios. To improve the transaction capacity, researchers have proposed some on-chain scaling technologies, including lightning networks, directed acyclic graph technology, state channels, and sharding mechanisms, in which sharding emerges as a potential scaling technology. Nevertheless, excessive cross-shard transactions and uneven shard workloads prevent the sharding mechanism from achieving the expected aim. This paper proposes a graph-based sharding scheme for public blockchain to efficiently balance the transaction distribution. By mitigating cross-shard transactions and evening-out workloads among shards, the scheme reduces transaction confirmation latency and enhances the transaction capacity of the blockchain. Therefore, the scheme can achieve a high-frequency transaction as well as a better blockchain scalability. Experiments results show that the scheme effectively reduces the cross-shard transaction ratio to a range of 35%–56% and significantly decreases the transaction confirmation latency to 6 s in a blockchain with no more than 25 shards. © 2024 Tech Science Press. All rights reserved."
